record_type,section,field,value,notes
meta,artifact,artifact_id,BB-01,
meta,artifact,artifact_version,1.0.0,
meta,worksheet,worksheet_id,,
meta,worksheet,timestamp,,
meta,system,system_name,,
system,system,system_action,,
system,system,worst_case_error,,
harm_role,harm,role,,
harm_role,harm,role,,
burden,estimate,role|type|min|likely|max|unit,,assumptions
burden,total,role|time_hours|money_usd|delay_days|cognitive|humiliation|risk,,rationale
absorber,allocation,role|type|absorber,,notes
ceiling,threshold,role|type|threshold|unit,,condition
trigger,enforcement,role|threshold|action|owner|timeframe,,
repair,pathway,entry_points,,
repair,pathway,required_documents,,
repair,pathway,promised_turnaround,,
repair,pathway,interim_protections,,
owner,owner,owner,,
owner,owner,review_cadence,,
revision,history,version|revision|date|summary,,
